structure,view,series,paths,placement,weight_bps,date,amount_cents
inst_90_2000000,event_adjusted,conditional,dispute_001_p2+dispute_003_p5,central,29,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p1,stress,6,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p1,stress,6,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p1,stress,6,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p1,central,6,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p1,central,6,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p1,central,6,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p2,stress,108,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p2,stress,108,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p2,stress,108,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p2,central,108,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p2,central,108,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p2,central,108,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p3,stress,28,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p3,stress,28,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p3,stress,28,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p3,central,28,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p3,central,28,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p3,central,28,2024-11-20,69133334
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p4,stress,2,2024-09-20,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p4,stress,2,2024-10-21,69133333
inst_90_2000000,event_adjusted,conditional,dispute_001_p3+dispute_003_p4,stress,2,2024-11-20,69133334
