date,view,contractual_cumulative_cents,collected_expected_cumulative_cents,collected_p5_cents,collected_p50_cents,collected_p95_cents,outstanding_principal_expected_cents
2025-02-13,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-14,bank_only,207400000,207400000,207400000,207400000,207400000,0
2025-02-15,bank_only,207400000,207400000,207400000,207400000,207400000,0
2024-08-20,event_adjusted,0,0,0,0,0,200000000
2024-08-21,event_adjusted,0,0,0,0,0,200000000
2024-08-22,event_adjusted,0,0,0,0,0,200000000
2024-08-23,event_adjusted,0,0,0,0,0,200000000
2024-08-24,event_adjusted,0,0,0,0,0,200000000
2024-08-25,event_adjusted,0,0,0,0,0,200000000
2024-08-26,event_adjusted,0,0,0,0,0,200000000
2024-08-27,event_adjusted,0,0,0,0,0,200000000
2024-08-28,event_adjusted,0,0,0,0,0,200000000
2024-08-29,event_adjusted,0,0,0,0,0,200000000
2024-08-30,event_adjusted,0,0,0,0,0,200000000
2024-08-31,event_adjusted,0,0,0,0,0,200000000
2024-09-01,event_adjusted,0,0,0,0,0,200000000
2024-09-02,event_adjusted,0,0,0,0,0,200000000
2024-09-03,event_adjusted,0,0,0,0,0,200000000
2024-09-04,event_adjusted,0,0,0,0,0,200000000
2024-09-05,event_adjusted,0,0,0,0,0,200000000
2024-09-06,event_adjusted,0,0,0,0,0,200000000
2024-09-07,event_adjusted,0,0,0,0,0,200000000
2024-09-08,event_adjusted,0,0,0,0,0,200000000
2024-09-09,event_adjusted,0,0,0,0,0,200000000
2024-09-10,event_adjusted,0,0,0,0,0,200000000
2024-09-11,event_adjusted,0,0,0,0,0,200000000
2024-09-12,event_adjusted,0,0,0,0,0,200000000
2024-09-13,event_adjusted,0,0,0,0,0,200000000
2024-09-14,event_adjusted,0,0,0,0,0,200000000
2024-09-15,event_adjusted,0,0,0,0,0,200000000
2024-09-16,event_adjusted,0,0,0,0,0,200000000
2024-09-17,event_adjusted,0,0,0,0,0,200000000
2024-09-18,event_adjusted,0,0,0,0,0,200000000
2024-09-19,event_adjusted,0,0,0,0,0,200000000
2024-09-20,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-21,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
2024-09-22,event_adjusted,69133333,69133333,69133333,69133333,69133333,133333334
