date,view,available_cash_expected_cents,available_cash_p5_cents,available_cash_p50_cents,available_cash_p95_cents,cash_locked_expected_cents,credit_capacity_committed_expected_cents
2024-10-26,event_adjusted,2543783994,1759954127,2656614758,2910653405,35026653,946976
2024-10-27,event_adjusted,2539289274,1756212969,2655242154,2910735702,35530711,962997
2024-10-28,event_adjusted,2540519040,1755662985,2652114445,2906309282,36042339,974185
2024-10-29,event_adjusted,2542934347,1762622405,2655893995,2915018781,36483599,983848
2024-10-30,event_adjusted,2551436144,1770334838,2664981348,2921273726,37127439,1001394
2024-10-31,event_adjusted,2550599860,1771162192,2665643030,2921704855,36989618,998343
2024-11-01,event_adjusted,2557604658,1778656739,2678765237,2935893516,37470076,1011057
2024-11-02,event_adjusted,2553743453,1777886359,2678260686,2935893516,38015244,1027078
2024-11-03,event_adjusted,2549654661,1775507377,2677885599,2935605010,38884350,1049455
2024-11-04,event_adjusted,2563834161,1787622600,2692814089,2951181833,39072435,1054287
2024-11-05,event_adjusted,2561856424,1788732584,2692727408,2953508210,39906230,1078190
2024-11-06,event_adjusted,2568042631,1798551620,2698159060,2960673894,39769078,1075138
2024-11-07,event_adjusted,2569245482,1800203500,2701976627,2970444652,40250112,1087853
2024-11-08,event_adjusted,2576809430,1809626469,2713604573,2982916937,40202023,1086327
2024-11-09,event_adjusted,2573534505,1809058330,2713415635,2982136775,40424569,1092684
2024-11-10,event_adjusted,2570406333,1808998061,2711567136,2982248928,41394386,1119894
2024-11-11,event_adjusted,2568437683,1806592859,2711567124,2982136775,41767248,1131082
2024-11-12,event_adjusted,2575398831,1816396989,2720504987,2991439054,42605848,1156511
2024-11-13,event_adjusted,2567260754,1813021241,2715988699,2987958075,43054431,1169226
2024-11-14,event_adjusted,2539671339,1788659405,2690791197,2974997906,44095705,1193129
2024-11-15,event_adjusted,2513016304,1764391581,2663513712,2950149543,44633211,1205844
2024-11-16,event_adjusted,2511605563,1763686714,2663423297,2950130257,44790885,1209149
2024-11-17,event_adjusted,2508944907,1761697475,2660220049,2950149543,45159218,1218812
2024-11-18,event_adjusted,2500598184,1751701541,2656700004,2951200116,45189210,1220592
2024-11-19,event_adjusted,2481802098,1732431231,2636946373,2952115411,44929253,1212964
2024-11-20,event_adjusted,2388005644,1640076151,2540328353,2843515820,45347213,1224152
2024-11-21,event_adjusted,2364787943,1614324144,2523206160,2793891466,45816873,1235341
2024-11-22,event_adjusted,2376605896,1627475999,2538354772,2809917491,46857899,1264076
2024-11-23,event_adjusted,2375785377,1626299920,2538354772,2809917491,47448939,1281622
2024-11-24,event_adjusted,2374500294,1625516853,2536170142,2809917491,48214715,1300694
2024-11-25,event_adjusted,2379329180,1631017484,2543659280,2820350794,48536635,1310357
2024-11-26,event_adjusted,2378028837,1630844644,2536094786,2819454575,48623851,1313663
2024-11-27,event_adjusted,2385638288,1638356021,2547762987,2832077714,49334262,1332734
2024-11-28,event_adjusted,2384044316,1637959984,2547421051,2831969539,49967096,1348755
2024-11-29,event_adjusted,2404646927,1658779590,2567340065,2847036100,50855866,1372658
2024-11-30,event_adjusted,2403633385,1658691466,2567340060,2847036100,51375828,1385372
2024-12-01,event_adjusted,2402135648,1657951931,2567340057,2847036100,52084101,1401393
2024-12-02,event_adjusted,2411953408,1666813622,2578691313,2854241209,52808556,1420464
2024-12-03,event_adjusted,2426864600,1683943282,2595345947,2871497661,53634655,1442842
2024-12-04,event_adjusted,2427946584,1687125036,2595480135,2878572299,53494680,1439790
2024-12-05,event_adjusted,2434359414,1694193447,2602872064,2883992940,54263660,1458862
2024-12-06,event_adjusted,2439626927,1700390077,2607030936,2891128152,54075471,1454285
2024-12-07,event_adjusted,2437971522,1700267181,2605371288,2891128152,54724303,1471831
2024-12-08,event_adjusted,2436377245,1698343927,2605116316,2891128152,55638273,1495734
2024-12-09,event_adjusted,2446707361,1711228164,2618236038,2905780978,56196474,1508703
2024-12-10,event_adjusted,2456831958,1724527956,2627210234,2914785179,56199125,1508957
2024-12-11,event_adjusted,2451291214,1717135683,2624370166,2909735339,56464493,1517095
2024-12-12,event_adjusted,2426488666,1691795238,2598179117,2894227650,57074294,1533115
2024-12-13,event_adjusted,2400042021,1667009385,2571381791,2872748371,58188314,1563375
2024-12-14,event_adjusted,2398929374,1666741376,2570503563,2872730767,58425746,1571513
2024-12-15,event_adjusted,2396397366,1663879092,2568131343,2872533639,59895905,1606605
2024-12-16,event_adjusted,2389216673,1655473873,2564430099,2875815677,59779827,1603553
2024-12-17,event_adjusted,2367257984,1634243163,2534290528,2868461754,59768685,1602282
2024-12-18,event_adjusted,2341959346,1611572407,2515911969,2828444429,60362072,1616776
2024-12-19,event_adjusted,2316410618,1587627758,2494853822,2790701638,61240219,1640680
2024-12-20,event_adjusted,2328046378,1601595461,2506960214,2804598268,62031884,1663311
2024-12-21,event_adjusted,2325757548,1599152579,2506644264,2804447694,62757919,1682637
2024-12-22,event_adjusted,2323590167,1596589057,2506169610,2804447694,63627590,1705015
2024-12-23,event_adjusted,2328579351,1601549230,2510298720,2814141686,64339346,1724341
2024-12-24,event_adjusted,2325667147,1599954940,2507062778,2811570628,64797148,1737310
2024-12-25,event_adjusted,2324561758,1599580919,2506736345,2811570628,65089342,1745447
2024-12-26,event_adjusted,2332251091,1609376445,2515178622,2824583707,65522693,1756636
2024-12-27,event_adjusted,2333043146,1613542030,2520256724,2820023576,66232296,1779013
2024-12-28,event_adjusted,2331180195,1612349010,2519752193,2819793161,66313063,1781048
2024-12-29,event_adjusted,2330175611,1611847600,2519615158,2819793161,66136187,1775199
2024-12-30,event_adjusted,2334612078,1616623157,2518086355,2827341284,67125848,1802408
2024-12-31,event_adjusted,2344712294,1624554204,2538987716,2833892762,67469417,1812071
